1.25  0.05  -0.00188935  9.37356e-08  0.0126218  6.38661e-08  -2.06051e-09
1.35  0.05  -0.00231538  1.33646e-07  0.0122136  8.96109e-08  -1.32845e-08
1.45  0.05  -0.00167446  1.6841e-07  0.0122466  1.20304e-07  -2.3899e-08
1.55  0.05  -0.00237923  3.34769e-07  0.0129012  2.07151e-07  4.28033e-09
1.65  0.05  -0.00240053  4.54756e-07  0.0123093  2.91497e-07  5.61056e-08
1.75  0.05  -0.00220604  5.68796e-07  0.0133547  3.83627e-07  -4.48428e-08
1.85  0.05  -0.0017509  7.22857e-07  0.0122106  5.23699e-07  -1.17878e-07
1.95  0.05  -0.00382473  8.69667e-07  0.0108769  5.48634e-07  -9.0431e-08
2.25  0.25  -0.00325195  3.39183e-07  0.0140259  1.69592e-07  3.51283e-11
2.75  0.25  -0.00405145  2.26695e-06  0.0176873  1.1335e-06  4.96999e-10
3.5  0.5  -0.00432638  3.24282e-06  0.0162071  1.62177e-06  8.52821e-10
