2.2  7.22441e-06   8.30391e-07  1.51179e-06
2.6  2.80086e-06   2.23677e-07  6.40871e-07
3  8.67193e-07   5.55004e-08  2.21339e-07
3.4  4.4512e-07   3.5883e-08  1.28579e-07
3.8  2.22307e-07   1.91815e-08  5.84332e-08
4.2  9.61111e-08   1.12415e-08  2.4114e-08
4.6  4.35425e-08   5.45866e-09  1.00806e-08
5  2.87717e-08   4.29938e-09  7.24505e-09
5.4  1.82256e-08   3.36734e-09  4.9464e-09
5.8  8.65929e-09   1.98973e-09  2.87323e-09
6.5  3.60852e-09   6.62384e-10  1.43657e-09
7.5  8.61292e-10   2.66501e-10  3.67557e-10
8.5  4.97119e-10   1.62578e-10  3.20437e-10
9.5  7.80334e-11   1.06523e-10  6.16917e-11
