2.75 1.70221e-06  2.04471e-07  2.41364e-07
3.25 5.78938e-07  7.22705e-08  7.97123e-08
3.75 2.56628e-07  2.95091e-08  3.56529e-08
4.25 1.09182e-07  1.21087e-08  5.71171e-09
4.75 4.13878e-08  4.58054e-09  1.81633e-09
5.25 2.04608e-08  2.21584e-09  9.43145e-10
5.75 1.14652e-08  1.21513e-09  5.85083e-10
6.25 6.07723e-09  6.60016e-10  4.1204e-10
6.75 3.68641e-09  4.15384e-10  2.99891e-10
7.25 2.18701e-09  2.65392e-10  2.0913e-10
8 9.09443e-10  1.28524e-10  1.08528e-10
9.25 3.32401e-10  5.16942e-11  5.28327e-11
12 4.49661e-11  1.35019e-11  1.05686e-11
