1.25  9.71166e-05  3.27147e-05  3.12583e-05
1.35  8.7115e-05  2.31653e-05  1.97092e-05
1.45  5.87042e-05  1.7001e-05  1.33837e-05
1.55  2.45986e-05  6.27177e-06  6.19058e-06
1.65  1.76013e-05  6.45287e-06  5.6464e-06
1.75  1.52847e-05  4.95952e-06  4.19658e-06
1.85  1.06562e-05  3.82339e-06  2.83972e-06
1.95  8.65368e-06  3.07728e-06  2.15748e-06
2.25  3.39522e-06  1.09553e-06  9.94396e-07
2.75  1.7403e-06  2.04471e-07  2.41364e-07
3.25  6.02648e-07  7.22705e-08  7.97123e-08
3.75  2.66881e-07  2.95091e-08  3.56529e-08
4.25  1.12888e-07  1.21087e-08  5.71171e-09
4.75  4.25539e-08  4.58054e-09  1.81633e-09
5.25  2.09417e-08  2.21584e-09  9.43145e-10
5.75  1.16898e-08  1.21513e-09  5.85083e-10
6.5   5.00969e-09  5.26125e-10  2.46579e-10
7.5   1.60846e-09  2.06146e-10  1.3326e-10
9     3.22792e-10  8.05085e-11  4.9269e-11
